Name,Synonym,Mol. Form.,Formula,CAS Reg. No.,Mol. Wt.,Mass %,m/mol kg-1,c/mol L-1,ρ/g cm-3,n (589 nm),Δ/ºC,η/mPa s,Target,mass_frac
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,0.5,0.08,0.079,1.0009,1.3336,0.28,1.004,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,0.5,0.08,0.079,1.0009,1.3336,0.28,1.004,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,0.5,0.08,0.079,1.0009,1.3336,0.28,1.004,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,1.0,0.16,0.159,1.0037,1.3343,0.56,1.005,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,1.0,0.16,0.159,1.0037,1.3343,0.56,1.005,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,1.0,0.16,0.159,1.0037,1.3343,0.56,1.005,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,2.0,0.324,0.32,1.0091,1.3356,1.12,1.007,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,2.0,0.324,0.32,1.0091,1.3356,1.12,1.007,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,2.0,0.324,0.32,1.0091,1.3356,1.12,1.007,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,3.0,0.491,0.483,1.0146,1.3368,1.7,1.01,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,3.0,0.491,0.483,1.0146,1.3368,1.7,1.01,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,3.0,0.491,0.483,1.0146,1.3368,1.7,1.01,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,4.0,0.661,0.648,1.0202,1.3381,2.32,1.014,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,4.0,0.661,0.648,1.0202,1.3381,2.32,1.014,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,4.0,0.661,0.648,1.0202,1.3381,2.32,1.014,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,5.0,0.835,0.814,1.0257,1.3394,2.96,1.018,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,5.0,0.835,0.814,1.0257,1.3394,2.96,1.018,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,5.0,0.835,0.814,1.0257,1.3394,2.96,1.018,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,6.0,1.013,0.982,1.0314,1.3407,3.63,1.022,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,6.0,1.013,0.982,1.0314,1.3407,3.63,1.022,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,6.0,1.013,0.982,1.0314,1.3407,3.63,1.022,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,7.0,1.194,1.152,1.037,1.3421,4.33,1.027,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,7.0,1.194,1.152,1.037,1.3421,4.33,1.027,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,7.0,1.194,1.152,1.037,1.3421,4.33,1.027,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,8.0,1.38,1.324,1.0427,1.3434,5.05,1.032,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,8.0,1.38,1.324,1.0427,1.3434,5.05,1.032,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,8.0,1.38,1.324,1.0427,1.3434,5.05,1.032,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,9.0,1.57,1.498,1.0485,1.3447,5.81,1.038,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,9.0,1.57,1.498,1.0485,1.3447,5.81,1.038,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,9.0,1.57,1.498,1.0485,1.3447,5.81,1.038,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,10.0,1.763,1.673,1.0543,1.346,6.6,1.044,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,10.0,1.763,1.673,1.0543,1.346,6.6,1.044,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,10.0,1.763,1.673,1.0543,1.346,6.6,1.044,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,11.0,1.961,1.851,1.0602,1.3474,7.42,1.051,H,0.0159957875252
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,11.0,1.961,1.851,1.0602,1.3474,7.42,1.051,N,0.222283267982
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,11.0,1.961,1.851,1.0602,1.3474,7.42,1.051,O,0.761720944493
Nitric acid,,HNO3,HNO3,7697-37-2,63.013,12.0,2.164,2.03,1.066,1.3487,8.27,1.058,H,0.0159957875252
