Element,Symbol,CAS,Atomic Number,Atomic Mass
Hydrogen,H,12385-13-6,1,1.00794
Helium,He,7440-59-7,2,4.002602
Lithium,Li,7439-93-2,3,6.941
Beryllium,Be,7440-41-7,4,9.012182
Boron,B,7440-42-8,5,10.811
Carbon,C,7440-44-0,6,12.0107
Nitrogen,N,17778-88-0,7,14.0067
Oxygen,O,17778-80-2,8,15.9994
Fluorine,F,14762-94-8,9,18.9984032
Neon,Ne,7440-01-09 00:00:00,10,20.1797
Sodium,Na,7440-23-5,11,22.98976928
Magnesium,Mg,7439-95-4,12,24.305
Aluminum,Al,7429-90-5,13,26.9815386
Silicon,Si,7440-21-3,14,28.0855
Phosphorus,P,7723-14-0,15,30.973762
Sulfur,S,7704-34-9,16,32.065
Chlorine,Cl,22537-15-1,17,35.453
Argon,Ar,7440-37-1,18,39.948
Potassium,K,7440-09-07 00:00:00,19,39.0983
Calcium,Ca,7440-70-2,20,40.078
Scandium,Sc,7440-20-2,21,44.955912
Titanium,Ti,7440-32-6,22,47.867
Vanadium,V,7440-62-2,23,50.9415
Chromium,Cr,7440-47-3,24,51.9961
Manganese,Mn,7439-96-5,25,54.938045
Iron,Fe,7439-89-6,26,55.845
Cobalt,Co,7440-48-4,27,58.933195
Nickel,Ni,7440-02-0,28,58.6934
Copper,Cu,7440-50-8,29,63.546
Zinc,Zn,7440-66-6,30,65.409
Gallium,Ga,7440-55-3,31,69.723
Germanium,Ge,7440-56-4,32,72.64
Arsenic,As,7440-38-2,33,74.9216
Selenium,Se,7782-49-2,34,78.96
Bromine,Br,10097-32-2,35,79.904
Krypton,Kr,7439-90-9,36,83.798
Rubidium,Rb,7440-17-7,37,85.4678
Strontium,Sr,7440-24-6,38,87.62
Yttrium,Y,7440-65-5,39,88.90585
Zirconium,Zr,7440-67-7,40,91.224
Niobium,Nb,7440-03-01 00:00:00,41,92.90638
Molybdenum,Mo,7439-98-7,42,95.94
Technetium,Tc,7440-26-8,43,97.9072
Ruthenium,Ru,7440-18-8,44,101.07
Rhodium,Rh,7440-16-6,45,102.9055
Palladium,Pd,7440-05-03 00:00:00,46,106.42
Silver,Ag,7440-22-4,47,107.8682
Cadmium,Cd,7440-43-9,48,112.411
Indium,In,7440-74-6,49,114.818
Tin,Sn,7440-31-5,50,118.71
Antimony,Sb,7440-36-0,51,121.76
Tellurium,Te,13494-80-9,52,127.6
Iodine,I,14362-44-8,53,126.90447
Xenon,Xe,7440-63-3,54,131.293
Cesium,Cs,7440-46-2,55,132.9054519
Barium,Ba,7440-39-3,56,137.327
Lanthanum,La,7439-91-0,57,138.90547
Cerium,Ce,7440-45-1,58,140.116
Praseodymium,Pr,7440-10-0,59,140.90765
Neodymium,Nd,7440-00-8,60,144.242
Promethium,Pm,7440-12-02 00:00:00,61,144.9127
Samarium,Sm,7440-19-9,62,150.36
Europium,Eu,7440-53-1,63,151.964
Gadolinium,Gd,7440-54-2,64,157.25
Terbium,Tb,7440-27-9,65,158.92535
Dysprosium,Dy,7429-91-6,66,162.5
Holmium,Ho,7440-60-0,67,164.93032
Erbium,Er,7440-52-0,68,167.259
Thulium,Tm,7440-30-4,69,168.93421
Ytterbium,Yb,7440-64-4,70,173.04
Lutetium,Lu,7439-94-3,71,174.967
Hafnium,Hf,7440-58-6,72,178.49
Tantalum,Ta,7440-25-7,73,180.94788
Tungsten,W,7440-33-7,74,183.84
Rhenium,Re,7440-15-5,75,186.207
Osmium,Os,7440-04-02 00:00:00,76,190.23
Iridium,Ir,7439-88-5,77,192.217
Platinum,Pt,7440-06-04 00:00:00,78,195.084
Gold,Au,7440-57-5,79,196.966569
Mercury,Hg,7439-97-6,80,200.59
Thallium,Tl,7440-28-0,81,204.3833
Lead,Pb,7439-92-1,82,207.2
Bismuth,Bi,7440-69-9,83,208.9804
Polonium,Po,7440-08-06 00:00:00,84,208.9824
Astatine,At,7440-68-8,85,209.9871
Radon,Rn,10043-92-2,86,222.0176
Francium,Fr,7440-73-5,87,223.0197
Radium,Ra,7440-14-4,88,226.0254
Actinium,Ac,7440-34-8,89,227.0277
Thorium,Th,7440-29-1,90,232.03806
Protactinium,Pa,7440-13-3,91,231.03588
Uranium,U,7440-61-1,92,238.02891
Neptunium,Np,7439-99-8,93,237.0482
Plutonium,Pu,7440-07-05 00:00:00,94,244.0642
Americium,Am,7440-35-9,95,243.0614
Curium,Cm,7440-51-9,96,247.0704
Berkelium,Bk,7440-40-6,97,247.0703
Californium,Cf,7440-71-3,98,251.0796
Einsteinium,Es,7429-92-7,99,252.083
Fermium,Fm,7440-72-4,100,257.0951
Mendelevium,Md,7440-11-01 00:00:00,101,258.0984
Nobelium,No,10028-14-5,102,259.101
Lawrencium,Lr,22537-19-5,103,262.1097
Rutherfordium,Rf,53850-36-5,104,261.1088
Dubnium,Db,53850-35-4,105,262.1141
Seaborgium,Sg,54038-81-2,106,266.1219
Bohrium,Bh,54037-14-8,107,264.12
Hassium,Hs,54037-57-9,108,269.0
Meitnerium,Mt,54038-01-6,109,268.0
Darmstadtium,Ds,54083-77-1,110,271.0
Roentgenium,Rg,54386-24-2,111,272.0
Ununbium,Uub,54084-26-3,112,285.0
Ununquadium,Uuq,54085-16-4,114,289.0
Ununhexium,Uuh,54100-71-9,116,289.0
