Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Unnamed: 10,Target,mass_frac
Actinium,,Ac,7440-34-8,227.0,silv metal; cub,1050,3198,10,,,Ac,1.0
Actinium bromide,Actinium tribromide,AcBr3,33689-81-5,467.0,wh hex cry,,800 subl,5.85,,,Ac,0.486411805124
Actinium bromide,Actinium tribromide,AcBr3,33689-81-5,467.0,wh hex cry,,800 subl,5.85,,,Br,0.513588194876
Actinium chloride,Actinium trichloride,AcCl3,22986-54-5,333.0,wh hex cry,,960 subl,4.81,,,Ac,0.68097407605
Actinium chloride,Actinium trichloride,AcCl3,22986-54-5,333.0,wh hex cry,,960 subl,4.81,,,Cl,0.31902592395
Actinium fluoride,Actinium trifluoride,AcF3,33689-80-4,284.0,wh hex cry,,,7.88,,,Ac,0.799328829916
Actinium fluoride,Actinium trifluoride,AcF3,33689-80-4,284.0,wh hex cry,,,7.88,,,F,0.200671170084
Actinium iodide,Actinium triiodide,AcI3,33689-82-6,608.0,wh cry,,,,,,Ac,0.37355988638
Actinium iodide,Actinium triiodide,AcI3,33689-82-6,608.0,wh cry,,,,,,I,0.62644011362
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,,Ac,0.904396263666
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,,O,0.0956037363341
Aluminum,,Al,7429-90-5,26.982,silv-wh metal; cub cry,660.32,2519,2.7,,,Al,1.0
Aluminum acetate,Aluminum triacetate,Al(C2H3O2)3,139-12-8,204.113,wh hyg solid,dec,,,,,Al,0.132188833988
Aluminum acetate,Aluminum triacetate,Al(C2H3O2)3,139-12-8,204.113,wh hyg solid,dec,,,,,C,0.353059279216
Aluminum acetate,Aluminum triacetate,Al(C2H3O2)3,139-12-8,204.113,wh hyg solid,dec,,,,,H,0.0444431927232
Aluminum acetate,Aluminum triacetate,Al(C2H3O2)3,139-12-8,204.113,wh hyg solid,dec,,,,,O,0.470308694072
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,Al,0.113776449025
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,H,0.0170012297268
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,N,0.059063814417
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,O,0.539733466061
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,S,0.270425040771
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,Al,0.0595187267339
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,H,0.062255773356
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,N,0.0308974577804
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,O,0.705863316858
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,S,0.141464725271
Aluminum antimonide,,AlSb,25152-52-7,148.742,brn cub cry,1065,,4.26,,,Al,0.181398813364
Aluminum antimonide,,AlSb,25152-52-7,148.742,brn cub cry,1065,,4.26,,,Sb,0.818601186636
Aluminum arsenide,,AlAs,22831-42-1,101.903,oran cub cry; hyg,1740,,3.76,,,Al,0.264776325545
Aluminum arsenide,,AlAs,22831-42-1,101.903,oran cub cry; hyg,1740,,3.76,,,As,0.735223674455
Aluminum borate,Eremeyevite,2Al2O3+B2O3,11121-16-7,273.543,needles,≈1050,,,,,Al,0.394549490579
Aluminum borate,Eremeyevite,2Al2O3+B2O3,11121-16-7,273.543,needles,≈1050,,,,,B,0.0790443162987
Aluminum borate,Eremeyevite,2Al2O3+B2O3,11121-16-7,273.543,needles,≈1050,,,,,O,0.526406193123
Aluminum borohydride,Aluminum tetrahydroborate,Al(BH4)3,16962-07-5,71.51,flam liq,-64.5,44.5,,,,Al,0.377312362529
Aluminum borohydride,Aluminum tetrahydroborate,Al(BH4)3,16962-07-5,71.51,flam liq,-64.5,44.5,,,,B,0.453546109261
Aluminum borohydride,Aluminum tetrahydroborate,Al(BH4)3,16962-07-5,71.51,flam liq,-64.5,44.5,,,,H,0.16914152821
Aluminum bromate nonahydrate,,Al(BrO3)3+9H2O,11126-81-1*,572.826,wh hyg cry,62,>100 dec,,,,Al,0.0471025314507
Aluminum bromate nonahydrate,,Al(BrO3)3+9H2O,11126-81-1*,572.826,wh hyg cry,62,>100 dec,,,,Br,0.418472874602
Aluminum bromate nonahydrate,,Al(BrO3)3+9H2O,11126-81-1*,572.826,wh hyg cry,62,>100 dec,,,,H,0.0316726734
Aluminum bromate nonahydrate,,Al(BrO3)3+9H2O,11126-81-1*,572.826,wh hyg cry,62,>100 dec,,,,O,0.502751920547
Aluminum bromide,Aluminum tribromide,AlBr3,7727-15-3,266.694,wh-yel monocl cry; hyg,97.5,255,3.2,,,Al,0.101170574816
Aluminum bromide,Aluminum tribromide,AlBr3,7727-15-3,266.694,wh-yel monocl cry; hyg,97.5,255,3.2,,,Br,0.898829425184
Aluminum bromide hexahydrate,,AlBr3+6H2O,7784-11-04 00:00:00,374.785,col-yel hyg cry,93,,2.54,,,Al,0.0719920030485
Aluminum bromide hexahydrate,,AlBr3+6H2O,7784-11-04 00:00:00,374.785,col-yel hyg cry,93,,2.54,,,Br,0.639598330199
Aluminum bromide hexahydrate,,AlBr3+6H2O,7784-11-04 00:00:00,374.785,col-yel hyg cry,93,,2.54,,,H,0.032272564124
Aluminum bromide hexahydrate,,AlBr3+6H2O,7784-11-04 00:00:00,374.785,col-yel hyg cry,93,,2.54,,,O,0.256137102628
Aluminum carbide,,Al4C3,1299-86-1,143.958,yel hex cry,2100,>2200 dec,2.36,,,Al,0.749704522674
Aluminum carbide,,Al4C3,1299-86-1,143.958,yel hex cry,2100,>2200 dec,2.36,,,C,0.250295477326
Aluminum chlorate nonahydrate,Mallebrin,Al(ClO3)3+9H2O,15477-33-5,439.473,hyg cry,,,,,,Al,0.0613952610521
Aluminum chlorate nonahydrate,Mallebrin,Al(ClO3)3+9H2O,15477-33-5,439.473,hyg cry,,,,,,Cl,0.242015055814
Aluminum chlorate nonahydrate,Mallebrin,Al(ClO3)3+9H2O,15477-33-5,439.473,hyg cry,,,,,,H,0.041283387362
Aluminum chlorate nonahydrate,Mallebrin,Al(ClO3)3+9H2O,15477-33-5,439.473,hyg cry,,,,,,O,0.655306295771
Aluminum chloride,Aluminum trichloride,AlCl3,7446-70-0,133.341,wh hex cry or powder; hyg,192.6,180 sp,2.48,45.125,,Al,0.202350604575
Aluminum chloride,Aluminum trichloride,AlCl3,7446-70-0,133.341,wh hex cry or powder; hyg,192.6,180 sp,2.48,45.125,,Cl,0.797649395425
Aluminum chloride hexahydrate,Aluminum trichloride hexahydrate,AlCl3+6H2O,7784-13-6,241.432,col hyg cry,100 dec,,2.398,45.125,,Al,0.111756163931
Aluminum chloride hexahydrate,Aluminum trichloride hexahydrate,AlCl3+6H2O,7784-13-6,241.432,col hyg cry,100 dec,,2.398,45.125,,Cl,0.44053358171
Aluminum chloride hexahydrate,Aluminum trichloride hexahydrate,AlCl3+6H2O,7784-13-6,241.432,col hyg cry,100 dec,,2.398,45.125,,H,0.0500980360871
Aluminum chloride hexahydrate,Aluminum trichloride hexahydrate,AlCl3+6H2O,7784-13-6,241.432,col hyg cry,100 dec,,2.398,45.125,,O,0.397612218273
