Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Target,mass_frac
Actinium,,Ac,7440-34-8,227.0,silv metal; cub,1050,3198,10,,Ac,1.0
Actinium fluoride,Actinium trifluoride,AcF3,33689-80-4,284.0,wh hex cry,,,7.88,,Ac,0.799328829916
Actinium fluoride,Actinium trifluoride,AcF3,33689-80-4,284.0,wh hex cry,,,7.88,,F,0.200671170084
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,Ac,0.904396263666
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,O,0.0956037363341
Aluminum,,Al,7429-90-5,26.982,silv-wh metal; cub cry,660.32,2519,2.7,,Al,1.0
Aluminum carbide,,Al4C3,1299-86-1,143.958,yel hex cry,2100,>2200 dec,2.36,,Al,0.749704522674
Aluminum carbide,,Al4C3,1299-86-1,143.958,yel hex cry,2100,>2200 dec,2.36,,C,0.250295477326
Aluminum diboride,,AlB2,12041-50-8,48.604,powder,>920 dec,,3.19,,Al,0.555135271571
Aluminum diboride,,AlB2,12041-50-8,48.604,powder,>920 dec,,3.19,,B,0.444864728429
Aluminum dodecaboride,,AlB12,12041-54-2,156.714,yel-brn prisms,2070,,2.55,,Al,0.172171076226
Aluminum dodecaboride,,AlB12,12041-54-2,156.714,yel-brn prisms,2070,,2.55,,B,0.827828923774
Aluminum fluoride,Aluminum trifluoride,AlF3,7784-18-1,83.977,wh hex cry,2250 tp (220 MPa),1276 sp,3.1,0.5025,Al,0.321297730364
Aluminum fluoride,Aluminum trifluoride,AlF3,7784-18-1,83.977,wh hex cry,2250 tp (220 MPa),1276 sp,3.1,0.5025,F,0.678702269636
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,Al,0.345901380453
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,H,0.0387651544913
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,O,0.615333465056
Aluminum iodide,Aluminum triiodide,AlI3,7784-23-8,407.695,wh leaflets,188.28,382,3.98,,Al,0.0661807037165
Aluminum iodide,Aluminum triiodide,AlI3,7784-23-8,407.695,wh leaflets,188.28,382,3.98,,I,0.933819296284
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,Al,0.102242523363
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,O,0.54564609798
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,P,0.352111378657
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,Al,0.0783287067735
